"bias","rel.bias","weighted.bias","rel.weighted.bias","mad","rel.mad","weighted.mad","rel.weighted.mad","mciw","rel.mciw","weighted.mciw","rel.weighted.mciw","meancov","abscov","weighted.meancov","weighted.abscov"
0.152419370024453,0.0570279706601975,0.139483294651534,0.0505928507133323,0.272611014168896,0.273506599377795,0.260791806308964,0.266562595511367,1.74371172693452,1.6660998034205,1.68237750709348,1.63494904454583,0.958333333333333,0.958333333333333,0.951666616132426,0.951666616132426
0.318376958984857,0.228019827742126,0.297770853941236,0.214163944007716,0.559719262085995,0.517545795886139,0.53389026800165,0.497540236198109,2.58648982187835,2.38266278981355,2.48075683954879,2.3061008683099,0.958333333333333,0.958333333333333,0.96122556971366,0.96122556971366
0.0777219336290329,0.0252137705791611,0.0756310862486691,0.0244741885621083,0.184889333503952,0.219841841015197,0.186259916768139,0.221495179953488,1.57768265808568,1.529684780815,1.53500877028126,1.51597321457518,1,1,1,1
0.121640520447791,0.176325571069938,0.119471912766764,0.168596963368819,0.315714936979691,0.402217743101038,0.311550543477012,0.397684778143165,1.56561226978508,1.63935231900739,1.55563404036754,1.62640602302177,0.916666666666667,0.916666666666667,0.924788375904028,0.924788375904028
0.109789737216912,0.0881422550173143,0.0992857044008289,0.0821801091062457,0.421009278648554,0.43345248245286,0.418194230322952,0.430502107141458,1.88438478261309,1.84920015005025,1.84862786411312,1.82273746526371,0.875,0.875,0.874226680359791,0.874226680359791
0.250632116052084,0.205037159780834,0.249081234428733,0.202117251506708,0.365127452267751,0.340053375875798,0.357433824784959,0.333718399480023,1.79990364253545,1.75505686385923,1.77639833020148,1.74262997626598,1,1,1,1
0.145483730413941,0.297175762571838,0.138461052835111,0.289773666585133,0.407462411520617,0.431793741347364,0.397661681885077,0.422272917106857,1.62181071114063,1.83415081078983,1.59234720479134,1.81208627958078,0.958333333333333,0.958333333333333,0.958311924808213,0.958311924808213
0.127372640522997,0.164900147179638,0.119768044220581,0.159367930799983,0.354664045619672,0.413275385180377,0.349523780986993,0.40989812658841,1.73717857442253,1.77536023184565,1.70333183288865,1.76083040097909,0.875,0.875,0.873539442255003,0.873539442255003
0.220113565067245,0.171526497829212,0.218368059681962,0.171204178620396,0.357757610328393,0.389835212857315,0.35404654708282,0.386573994300852,1.75617822301744,1.75270627429806,1.74733253267998,1.74633367146951,0.958333333333333,0.958333333333333,0.956728043405279,0.956728043405279
0.153601955749616,0.132529765541098,0.174567545728693,0.140332603799482,0.452160668577135,0.40366306802056,0.449212101317829,0.400972348997585,1.70926403557162,1.70008560930822,1.71777976855898,1.69818554300799,0.791666666666667,0.791666666666667,0.79916214352614,0.79916214352614
0.0930868141825975,0.0306872280052472,0.0926697049668856,0.0310392408948124,0.32162072048662,0.290546433196316,0.319029171312508,0.287515659925713,1.64801994656698,1.57296585441895,1.62733928835347,1.56860592902182,0.916666666666667,0.916666666666667,0.916747078689304,0.916747078689304
0.0463355074123124,0.07078489922853,0.0483794781323645,0.0728430574920584,0.265104837340807,0.269577999493114,0.264868644918426,0.270459853973105,1.40527092996175,1.45250726091498,1.39616522886406,1.4526718807602,0.916666666666667,0.916666666666667,0.917779342816315,0.917779342816315
0.0686301801905808,0.0311319341445257,0.0880627282749635,0.034046140487912,0.314781002017463,0.342526414673835,0.302180737208355,0.343243767752764,1.73093298161385,1.67181205299315,1.71374996732025,1.67794489203075,0.875,0.875,0.86746266348071,0.86746266348071
-0.0681146558719205,-0.0065784160792539,-0.0735088602497217,-0.011242608062424,0.252708870629888,0.255190386533495,0.244445371728562,0.248357051529032,1.39418416440919,1.48787150605742,1.37343639536873,1.47200302594833,1,1,1,1
-0.0122398399816765,0.0688416094027422,-0.00992476834713924,0.0658178524455841,0.268303618918233,0.2911581778354,0.262902802264389,0.29115883908929,1.48998607401617,1.61124963767341,1.46556017794717,1.6050828527812,0.916666666666667,0.916666666666667,0.91291294273226,0.91291294273226
0.097873312226375,0.15490288322698,0.0977881241389325,0.15280789000158,0.178042098986711,0.293574211083658,0.178554037567521,0.295939625163628,1.56403951304929,1.65137583300144,1.53756349540086,1.64742821384921,0.916666666666667,0.916666666666667,0.913165002775982,0.913165002775982
0.105958049392325,0.131717856612238,0.0931035379628774,0.12308125098238,0.342713654960769,0.37415821690094,0.337386319126937,0.369634174420763,1.65870108738742,1.67601397183222,1.63471103181874,1.65263571964266,1,1,1,1
0.0365160001269684,0.0307691280713958,0.0393511402749788,0.0346004430746684,0.141119180485928,0.175237989980453,0.141258369249441,0.177143921325778,1.39643148498847,1.44870783486565,1.39738564180856,1.44978656457778,1,1,1,1
0.0798446074464888,0.0657236427538564,0.0815713644686146,0.0656925171449734,0.176598998847022,0.157434596930135,0.177182531753981,0.159225641357316,1.45314171311434,1.47284114863215,1.43393522415316,1.46866163692137,0.958333333333333,0.958333333333333,0.958565505314988,0.958565505314988
0.299573534183399,0.323446127029287,0.304800300700585,0.327292126030589,0.473793874890007,0.487946290969847,0.466895790966226,0.485115302362859,2.00954128709428,1.99671600116207,1.9876135687202,1.98587475738426,1,1,1,1
0.172694181790174,0.169415528960801,0.171730197246938,0.174723158403138,0.402839388999616,0.428838331955724,0.400140741086648,0.429190497166047,1.79071014285516,1.80907001003972,1.7852839223592,1.80977016403515,1,1,1,1
0.319924847617274,0.270321233789964,0.319616971106577,0.2717314409399,0.492704066857047,0.512794114586772,0.48871715965688,0.511189341910784,1.97795214893621,1.9368920709269,1.98034773221629,1.93691020264912,0.916666666666667,0.916666666666667,0.92046400185891,0.92046400185891
