name,location,id,date
NewYork_93_2002.16,NewYork,93,2002.16
NewYork_680_1995.12,NewYork,680,1995.12
NewYork_45_2003.96,NewYork,45,2003.96
NewYork_579_1997.02,NewYork,579,1997.02
NewYork_752_1994.01,NewYork,752,1994.01
NewYork_130_2002.21,NewYork,130,2002.21
NewYork_162_2000.13,NewYork,162,2000.13
NewYork_11_2003.85,NewYork,11,2003.85
NewYork_232_2004.96,NewYork,232,2004.96
NewYork_655_1994.89,NewYork,655,1994.89
NewYork_657_1994.93,NewYork,657,1994.93
NewYork_761_1993.18,NewYork,761,1993.18
NewYork_175_2000.03,NewYork,175,2000.03
NewYork_548_1998.13,NewYork,548,1998.13
NewYork_383_2005.02,NewYork,383,2005.02
NewYork_34_2003.94,NewYork,34,2003.94
NewYork_236_2005.01,NewYork,236,2005.01
NewYork_676_1995.06,NewYork,676,1995.06
NewYork_664_1995.21,NewYork,664,1995.21
NewYork_776_1993.15,NewYork,776,1993.15
NewYork_659_1994.95,NewYork,659,1994.95
NewYork_561_1996.99,NewYork,561,1996.99
NewYork_110_2002.1,NewYork,110,2002.1
NewYork_526_1998.01,NewYork,526,1998.01
NewYork_786_1993.22,NewYork,786,1993.22
NewYork_692_1995.06,NewYork,692,1995.06
NewYork_669_1995.04,NewYork,669,1995.04
NewYork_25_2003.98,NewYork,25,2003.98
NewYork_471_2004.88,NewYork,471,2004.88
NewYork_363_2004.98,NewYork,363,2004.98
NewYork_44_2003.96,NewYork,44,2003.96
NewYork_647_1996,NewYork,647,1996
NewYork_311_1999.18,NewYork,311,1999.18
NewYork_788_1993.17,NewYork,788,1993.17
NewYork_732_1994.03,NewYork,732,1994.03
NewYork_13_2003.88,NewYork,13,2003.88
NewYork_339_1999.13,NewYork,339,1999.13
NewYork_544_1998.11,NewYork,544,1998.11
NewYork_16_2003.88,NewYork,16,2003.88
NewYork_149_1999.93,NewYork,149,1999.93
NewYork_434_2000.04,NewYork,434,2000.04
NewYork_124_2001.93,NewYork,124,2001.93
NewYork_475_2003.96,NewYork,475,2003.96
NewYork_667_1995.04,NewYork,667,1995.04
NewYork_407_2002.04,NewYork,407,2002.04
NewYork_428_1999.76,NewYork,428,1999.76
NewYork_688_1994.96,NewYork,688,1994.96
NewYork_759_1993.2,NewYork,759,1993.2
NewYork_527_1998.22,NewYork,527,1998.22
NewYork_744_1994.06,NewYork,744,1994.06
NewYork_215_2003.33,NewYork,215,2003.33
NewYork_172_2000,NewYork,172,2000
NewYork_178_2000.18,NewYork,178,2000.18
NewYork_12_2003.97,NewYork,12,2003.97
NewYork_631_1996.27,NewYork,631,1996.27
NewYork_150_2000.09,NewYork,150,2000.09
NewYork_731_1994.2,NewYork,731,1994.2
NewYork_733_1994.12,NewYork,733,1994.12
NewYork_590_1996.96,NewYork,590,1996.96
NewYork_470_2004.76,NewYork,470,2004.76
NewYork_709_1994.03,NewYork,709,1994.03
NewYork_539_1998.13,NewYork,539,1998.13
NewYork_608_1996.27,NewYork,608,1996.27
NewYork_469_2004.74,NewYork,469,2004.74
NewYork_747_1994.05,NewYork,747,1994.05
NewYork_285_1999.08,NewYork,285,1999.08
NewYork_774_1993.17,NewYork,774,1993.17
NewYork_31_2004.03,NewYork,31,2004.03
NewYork_304_1999.01,NewYork,304,1999.01
NewYork_188_1999.97,NewYork,188,1999.97
NewYork_410_2002.06,NewYork,410,2002.06
NewYork_687_1995.12,NewYork,687,1995.12
NewYork_610_1995.98,NewYork,610,1995.98
NewYork_571_1996.98,NewYork,571,1996.98
NewYork_273_2002.01,NewYork,273,2002.01
NewYork_94_2002,NewYork,94,2002
NewYork_599_1996.98,NewYork,599,1996.98
NewYork_330_1999.01,NewYork,330,1999.01
NewYork_397_1999.11,NewYork,397,1999.11
NewYork_778_1993.1,NewYork,778,1993.1
NewYork_8_2004.01,NewYork,8,2004.01
NewYork_406_2002.04,NewYork,406,2002.04
NewYork_436_2000.04,NewYork,436,2000.04
NewYork_739_1994.14,NewYork,739,1994.14
NewYork_758_1993.11,NewYork,758,1993.11
NewYork_148_2000.13,NewYork,148,2000.13
NewYork_711_1994.05,NewYork,711,1994.05
NewYork_535_1998.19,NewYork,535,1998.19
NewYork_61A_2003.99,NewYork,61A,2003.99
NewYork_701_1995.16,NewYork,701,1995.16
NewYork_588_1997.01,NewYork,588,1997.01
NewYork_789_1993.27,NewYork,789,1993.27
NewYork_240_1999.01,NewYork,240,1999.01
NewYork_76_2002.05,NewYork,76,2002.05
NewYork_152_2000.07,NewYork,152,2000.07
