name,location,id,date,season
NewYork_689_1995.07,NewYork,689,1995.07,1994-1995
NewYork_64_2004.01,NewYork,64,2004.01,2003-2004
NewYork_700_1995.14,NewYork,700,1995.14,1994-1995
NewYork_373_2005.17,NewYork,373,2005.17,2004-2005
NewYork_673_1995.07,NewYork,673,1995.07,1994-1995
NewYork_476_2003.98,NewYork,476,2003.98,2003-2004
NewYork_528_1998.04,NewYork,528,1998.04,1997-1998
NewYork_545_1998,NewYork,545,1998,1997-1998
NewYork_533_1998.1,NewYork,533,1998.1,1997-1998
NewYork_334_2004.99,NewYork,334,2004.99,2004-2005
NewYork_502_1998.23,NewYork,502,1998.23,1997-1998
NewYork_126_2002.18,NewYork,126,2002.18,2001-2002
NewYork_197_2003.22,NewYork,197,2003.22,2002-2003
NewYork_743_1994.03,NewYork,743,1994.03,1993-1994
NewYork_83_2001.98,NewYork,83,2001.98,2001-2002
NewYork_531_1998.16,NewYork,531,1998.16,1997-1998
NewYork_698_1995.1,NewYork,698,1995.1,1994-1995
NewYork_699_1995.12,NewYork,699,1995.12,1994-1995
NewYork_102_2002.08,NewYork,102,2002.08,2001-2002
NewYork_137_1999.78,NewYork,137,1999.78,1999-2000
NewYork_327_1999.24,NewYork,327,1999.24,1998-1999
NewYork_63_2004.01,NewYork,63,2004.01,2003-2004
NewYork_542_1998.15,NewYork,542,1998.15,1997-1998
NewYork_254_1999.02,NewYork,254,1999.02,1998-1999
NewYork_252_1999.05,NewYork,252,1999.05,1998-1999
NewYork_358_2004.94,NewYork,358,2004.94,2004-2005
NewYork_70_2004.04,NewYork,70,2004.04,2003-2004
NewYork_721_1994.05,NewYork,721,1994.05,1993-1994
NewYork_396_2005.19,NewYork,396,2005.19,2004-2005
NewYork_718_1994.12,NewYork,718,1994.12,1993-1994
NewYork_557_1996.91,NewYork,557,1996.91,1996-1997
NewYork_661_1994.97,NewYork,661,1994.97,1994-1995
NewYork_319_2004.88,NewYork,319,2004.88,2004-2005
NewYork_401_2001.91,NewYork,401,2001.91,2001-2002
NewYork_720_1994.08,NewYork,720,1994.08,1993-1994
NewYork_675_1995.08,NewYork,675,1995.08,1994-1995
